Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1781587249772,3204,3204,3204,3204,3204,3204,3204,3204,0,100,50,100,0,0,0,0,5.043796062469482,8589934592,3221225472,6707298304,2252734464
204,1781587249772,3204,3204,3204,3204,3204,3204,3204,3204,100,0,0,50,0,0,NaN,0,5.043796062469482,8589934592,3221225472,6708609024,2252734464
204,1781587249977,3204,3204,3204,3204,3204,3204,3204,3204,68.42105102539063,65,68.42105102539063,57.894737243652344,15.789472579956055,9.523809432983398,0,0,5.043796062469482,8589934592,3221225472,6727696384,2252734464
200,1781587250182,3204,3204,3204,3204,3204,3204,3204,3204,42.85714340209961,40,42.85714340209961,23.809524536132813,28.571430206298828,21.052631378173828,5,4.545454502105713,5.043796062469482,8589934592,3221225472,6744702976,2252734464
204,1781587250383,3204,3204,3204,3204,3204,3204,3204,3204,76.19047546386719,71.42857360839844,68.42105102539063,70,50,52.38095474243164,30.000001907348633,15.789472579956055,5.95136833190918,8589934592,3221225472,6720634880,2252734464
204,1781587250588,3204,3204,3204,3204,3204,3204,3204,3204,57.894737243652344,50,50,50,47.36842346191406,25,25,23.809524536132813,5.95136833190918,8589934592,3221225472,6744178688,2252734464
204,1781587250793,3204,3204,3204,3204,3204,3204,3204,3204,57.142860412597656,40,38.095237731933594,38.095237731933594,13.636363983154297,4.761904716491699,4.545454502105713,4.761904716491699,5.95136833190918,8589934592,3221225472,6744178688,2252734464
203,1781587250998,3204,3204,3204,3204,3204,3204,3204,3204,75,70,70,68.42105102539063,30.000001907348633,20,0,10,5.95136833190918,8589934592,3221225472,6744178688,2252734464
200,1781587251202,3204,3204,3204,3204,3204,3204,3204,3204,70,66.66667175292969,61.904762268066406,61.904762268066406,15.000000953674316,15.000000953674316,14.285715103149414,38.095237731933594,5.95136833190918,8589934592,3221225472,6744178688,2252734464
200,1781587251403,3204,3204,3204,3204,3204,3204,3204,3204,66.66667175292969,73.68421173095703,57.894737243652344,35,0,4.761904716491699,0,0,5.506021499633789,8589934592,3221225472,6727335936,2252734464
204,1781587251605,3204,3204,3204,3204,3204,3204,3204,3204,85,85.71428680419922,85.71428680419922,89.47368621826172,4.761904716491699,0,0,0,5.506021499633789,8589934592,3221225472,6694158336,2252734464
204,1781587251809,3204,3204,3204,3204,3204,3204,3204,3204,65,55,52.38095474243164,57.142860412597656,4.761904716491699,0,0,0,5.506021499633789,8589934592,3221225472,6692749312,2252734464
204,1781587252015,3204,3204,3204,3204,3204,3204,3204,3204,35,38.095237731933594,26.3157901763916,23.809524536132813,5,4.761904716491699,0,0,5.506021499633789,8589934592,3221225472,6704267264,2252734464
204,1781587252220,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,5.263157844543457,9.090909004211426,0,0,0,0,0,5.506021499633789,8589934592,3221225472,6704349184,2252734464
201,1781587252425,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,14.285715103149414,5,14.285715103149414,14.285715103149414,5,0,0,7.478466987609863,8589934592,3221225472,6669303808,2252734464
203,1781587252626,3204,3204,3204,3204,3204,3204,3204,3204,20,23.809524536132813,15.789472579956055,10.526315689086914,10,0,0,0,7.478466987609863,8589934592,3221225472,6734413824,2252734464
203,1781587252831,3204,3204,3204,3204,3204,3204,3204,3204,20,15.789472579956055,14.285715103149414,14.285715103149414,0,0,0,0,7.478466987609863,8589934592,3221225472,6733905920,2252734464
204,1781587253035,3204,3204,3204,3204,3204,3204,3204,3204,25,28.571430206298828,25,9.523809432983398,10.526315689086914,0,0,0,7.478466987609863,8589934592,3221225472,6742212608,2252734464
201,1781587253240,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,21.052631378173828,19.047618865966797,20,0,0,0,0,7.478466987609863,8589934592,3221225472,6728433664,2252734464
200,1781587253442,3204,3204,3204,3204,3204,3204,3204,3204,5,4.761904716491699,5,0,0,0,0,0,5.412502288818359,8589934592,3221225472,6728843264,2252734464
204,1781587253642,3204,3204,3204,3204,3204,3204,3204,3204,10,5,0,5,0,0,0,0,5.412502288818359,8589934592,3221225472,6730186752,2252734464
204,1781587253847,3204,3204,3204,3204,3204,3204,3204,3204,10,15.000000953674316,9.523809432983398,10,0,0,0,0,5.412502288818359,8589934592,3221225472,6726664192,2252734464
204,1781587254052,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,14.285715103149414,9.523809432983398,4.761904716491699,9.523809432983398,0,0,0,5.412502288818359,8589934592,3221225472,6726762496,2252734464
204,1781587254257,3204,3204,3204,3204,3204,3204,3204,3204,0,15.000000953674316,0,4.761904716491699,0,0,0,0,5.412502288818359,8589934592,3221225472,6718636032,2252734464
202,1781587254462,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,4.761904716491699,4.761904716491699,0,0,0,0,0,4.2966108322143555,8589934592,3221225472,6718111744,2252734464
203,1781587254665,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,10,5,9.523809432983398,0,0,0,0,4.2966108322143555,8589934592,3221225472,6717603840,2252734464
200,1781587254869,3204,3204,3204,3204,3204,3204,3204,3204,20,20,10,5.263157844543457,5,0,0,0,4.2966108322143555,8589934592,3221225472,6717603840,2252734464
203,1781587255070,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,15.000000953674316,20,18.18181800842285,5,0,0,0,4.2966108322143555,8589934592,3221225472,6717603840,2252734464
204,1781587255274,3204,3204,3204,3204,3204,3204,3204,3204,5,5,0,0,0,0,0,0,4.2966108322143555,8589934592,3221225472,6717603840,2252734464
200,1781587255479,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,19.047618865966797,18.18181800842285,9.523809432983398,33.333335876464844,4.761904716491699,0,0,3.894441843032837,8589934592,3221225472,6655082496,2252734464
204,1781587255680,3204,3204,3204,3204,3204,3204,3204,3204,5,5,0,0,0,0,0,0,3.894441843032837,8589934592,3221225472,6655344640,2252734464
201,1781587255885,3204,3204,3204,3204,3204,3204,3204,3204,25,21.052631378173828,23.809524536132813,23.809524536132813,14.285715103149414,4.761904716491699,0,0,3.894441843032837,8589934592,3221225472,6695419904,2252734464
200,1781587256086,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,27.272727966308594,15.000000953674316,10.526315689086914,15.000000953674316,0,4.761904716491699,0,3.894441843032837,8589934592,3221225472,6714015744,2252734464
204,1781587256287,3204,3204,3204,3204,3204,3204,3204,3204,20,15.789472579956055,15.000000953674316,14.285715103149414,5,0,4.761904716491699,0,3.894441843032837,8589934592,3221225472,6714015744,2252734464
204,1781587256492,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,30.000001907348633,35,31.57894515991211,25,22.72727394104004,15.000000953674316,15.000000953674316,3.572822093963623,8589934592,3221225472,6667599872,2252734464
204,1781587256697,3204,3204,3204,3204,3204,3204,3204,3204,70,76.19047546386719,65,61.904762268066406,45,40,15.789472579956055,5,3.572822093963623,8589934592,3221225472,6712836096,2252734464
201,1781587256902,3204,3204,3204,3204,3204,3204,3204,3204,30.000001907348633,20,19.047618865966797,19.047618865966797,20,15.000000953674316,9.523809432983398,0,3.572822093963623,8589934592,3221225472,6727876608,2252734464
204,1781587257104,3204,3204,3204,3204,3204,3204,3204,3204,35,35,33.333335876464844,15.789472579956055,40,30.000001907348633,15.000000953674316,9.523809432983398,3.572822093963623,8589934592,3221225472,6727876608,2252734464
204,1781587257310,3204,3204,3204,3204,3204,3204,3204,3204,28.571430206298828,25,20,22.72727394104004,33.333335876464844,25,14.285715103149414,5,3.882495164871216,8589934592,3221225472,6727876608,2252734464
199,1781587257514,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,33.333335876464844,20,15.000000953674316,10,4.761904716491699,4.761904716491699,0,3.882495164871216,8589934592,3221225472,6729056256,2252734464
204,1781587257715,3204,3204,3204,3204,3204,3204,3204,3204,20,15.789472579956055,19.047618865966797,10,15.000000953674316,0,0,0,3.882495164871216,8589934592,3221225472,6724370432,2252734464
204,1781587257920,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,33.333335876464844,21.052631378173828,20,0,0,0,0,3.882495164871216,8589934592,3221225472,6715097088,2252734464
204,1781587258124,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,30.000001907348633,25,25,14.285715103149414,10,5,9.090909004211426,3.882495164871216,8589934592,3221225472,6701056000,2252734464
201,1781587258329,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,40,42.85714340209961,38.095237731933594,61.904762268066406,52.38095474243164,61.904762268066406,52.6315803527832,4.538837432861328,8589934592,3221225472,6801014784,2252734464
204,1781587258531,3204,3204,3204,3204,3204,3204,3204,3204,50,40,40,42.105262756347656,50,65,47.36842346191406,45,4.538837432861328,8589934592,3221225472,6788366336,2252734464
203,1781587258736,3204,3204,3204,3204,3204,3204,3204,3204,35,33.333335876464844,30.000001907348633,28.571430206298828,31.57894515991211,60.000003814697266,38.095237731933594,19.047618865966797,4.538837432861328,8589934592,3221225472,6774980608,2252734464
203,1781587258940,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,31.57894515991211,23.809524536132813,20,20,15.000000953674316,5,0,4.538837432861328,8589934592,3221225472,6777274368,2252734464
201,1781587259144,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,33.333335876464844,20,19.047618865966797,4.761904716491699,0,0,0,4.538837432861328,8589934592,3221225472,6776520704,2252734464
203,1781587259346,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,25,20,20,25,15.000000953674316,5,0,6.591019153594971,8589934592,3221225472,6757679104,2252734464
201,1781587259550,3204,3204,3204,3204,3204,3204,3204,3204,45,40,36.842105865478516,35,28.571430206298828,23.809524536132813,0,4.761904716491699,6.591019153594971,8589934592,3221225472,6815776768,2252734464
200,1781587259752,3204,3204,3204,3204,3204,3204,3204,3204,20,28.571430206298828,19.047618865966797,5.263157844543457,20,9.523809432983398,9.523809432983398,0,6.591019153594971,8589934592,3221225472,6817431552,2252734464
204,1781587259953,3204,3204,3204,3204,3204,3204,3204,3204,42.105262756347656,42.105262756347656,35,35,35,10,0,4.761904716491699,6.591019153594971,8589934592,3221225472,6775422976,2252734464
200,1781587260158,3204,3204,3204,3204,3204,3204,3204,3204,38.095237731933594,30.000001907348633,25,23.809524536132813,31.57894515991211,20,9.523809432983398,0,6.591019153594971,8589934592,3221225472,6755811328,2252734464
200,1781587260359,3204,3204,3204,3204,3204,3204,3204,3204,35,52.38095474243164,30.000001907348633,26.3157901763916,52.38095474243164,52.6315803527832,26.3157901763916,26.3157901763916,7.76211404800415,8589934592,3221225472,6736199680,2252734464
204,1781587260561,3204,3204,3204,3204,3204,3204,3204,3204,35,36.842105865478516,30.000001907348633,23.809524536132813,42.85714340209961,28.571430206298828,10,4.761904716491699,7.76211404800415,8589934592,3221225472,6751944704,2252734464
204,1781587260766,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,25,20,20,36.842105865478516,30.000001907348633,19.047618865966797,5,7.76211404800415,8589934592,3221225472,6753026048,2252734464
200,1781587260970,3204,3204,3204,3204,3204,3204,3204,3204,33.333335876464844,35,19.047618865966797,23.809524536132813,52.38095474243164,42.85714340209961,10,9.523809432983398,7.76211404800415,8589934592,3221225472,6770671616,2252734464
204,1781587261172,3204,3204,3204,3204,3204,3204,3204,3204,50,52.38095474243164,40,40,50,35,30.000001907348633,33.333335876464844,7.76211404800415,8589934592,3221225472,6790922240,2252734464
204,1781587261377,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,5,0,0,5,0,0,0,7.619295597076416,8589934592,3221225472,6782943232,2252734464
203,1781587261582,3204,3204,3204,3204,3204,3204,3204,3204,10,9.523809432983398,9.523809432983398,9.523809432983398,0,0,0,0,7.619295597076416,8589934592,3221225472,6783582208,2252734464
201,1781587261786,3204,3204,3204,3204,3204,3204,3204,3204,14.285715103149414,5,10,5,0,0,0,0,7.619295597076416,8589934592,3221225472,6778699776,2252734464
203,1781587261987,3204,3204,3204,3204,3204,3204,3204,3204,47.36842346191406,35,25,15.000000953674316,14.285715103149414,4.761904716491699,0,0,7.619295597076416,8589934592,3221225472,6760792064,2252734464
204,1781587262192,3204,3204,3204,3204,3204,3204,3204,3204,35,35,28.571430206298828,25,5,0,0,0,7.619295597076416,8589934592,3221225472,6757318656,2252734464
203,1781587262397,3204,3204,3204,3204,3204,3204,3204,3204,14.285715103149414,10,0,0,0,0,0,0,7.743514537811279,8589934592,3221225472,6764347392,2252734464
204,1781587262601,3204,3204,3204,3204,3204,3204,3204,3204,5,4.761904716491699,5,9.090909004211426,0,0,0,0,7.743514537811279,8589934592,3221225472,6764560384,2252734464
202,1781587262805,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,5,0,5,0,0,0,0,7.743514537811279,8589934592,3221225472,6764953600,2252734464
199,1781587263008,3204,3204,3204,3204,3204,3204,3204,3204,31.57894515991211,35,33.333335876464844,20,9.523809432983398,0,0,0,7.743514537811279,8589934592,3221225472,6782943232,2252734464
